"","date","item","count","sales_cat","semester","menu_condition","station","item_cat","station_type","meal_period","ind_carbon_cost","ind_water_cost","ind_dollar_cost","corr_carbon_cost","corr_water_cost","corr_dollar_cost"
"39","22-Oct","Grilled Chicken Breast Sandwich",18,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,5.42796742076277,1250.47167950246,152.82
"40","22-Oct","Seared Salmon Burger",10,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.47926073918026,446.97222176261,84.9
"41","22-Oct","Trillium Grill Impossible Burger",6,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.26546652859467,139.521561108638,62.94
"42","22-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
"43","22-Oct","Bowl Ramen Chicken",73,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,27.7170717988746,7636.35789095662,692.77
"44","22-Oct","Bowl Ramen Tofu",10,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.06509419979168,919.886822989085,94.9
"45","22-Oct","Create Your Pasta Bowl MEAT",132,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,82.5786055847176,6314.68448785273,1186.68
"46","22-Oct","Create Your Pasta Bowl VEG",26,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,3.6476584699504,274.355970756474,220.74
"47","23-Oct","Grilled Hamburger",100,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,388.121217461521,8887.93607464882,899
"48","23-Oct","Grilled Chicken Breast Sandwich",20,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,6.03107491195863,1389.41297722496,169.8
"49","23-Oct","Trillium Grill Impossible Burger",10,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,2.10911088099112,232.535935181063,104.9
"50","23-Oct","Seared Salmon Burger",3,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,1.34377822175408,134.091666528783,25.47
"51","23-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
"52","23-Oct","Bowl Ramen Chicken",83,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,31.5139309494054,8682.43431437533,787.67
"53","23-Oct","Bowl Ramen Tofu",9,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,2.75858477981251,827.898140690177,85.41
"54","23-Oct","Create Your Pasta Bowl MEAT",124,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,77.5738416098862,5931.97633707378,1114.76
"55","23-Oct","Create Your Pasta Bowl VEG",28,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,3.92824758302351,295.46027619928,237.72
"56","24-Oct","Grilled Hamburger",107,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,415.289702683827,9510.09159987423,961.93
"57","24-Oct","Grilled Chicken Breast Sandwich",14,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,4.22175243837104,972.589084057471,118.86
"58","24-Oct","Trillium Grill Impossible Burger",9,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.89819979289201,209.282341662957,94.41
"59","24-Oct","Seared Salmon Burger",10,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.47926073918026,446.97222176261,84.9
"60","24-Oct","Black Bean Burger",5,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.554723561642208,274.944113900874,43.45
"61","24-Oct","Bowl Ramen Chicken",92,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,34.9311041848831,9623.90309545218,873.08
"62","24-Oct","Bowl Ramen Tofu",15,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,4.59764129968752,1379.83023448363,142.35
"63","24-Oct","Create Your Pasta Bowl MEAT",131,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,81.9530100878637,6266.84596900536,1177.69
"64","24-Oct","Create Your Pasta Bowl VEG",32,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,4.48942580916973,337.668887084891,271.68
"65","25-Oct","Grilled Hamburger",71,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,275.56606439768,6310.43461300066,638.29
"66","25-Oct","Grilled Chicken Breast Sandwich",8,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,2.41242996478345,555.765190889984,67.92
"67","25-Oct","Seared Salmon Burger",8,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,3.5834085913442,357.577777410088,67.92
"68","25-Oct","Trillium Grill Impossible Burger",6,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.26546652859467,139.521561108638,62.94
"69","25-Oct","Black Bean Burger",4,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.443778849313767,219.955291120699,34.76
"70","25-Oct","Bowl Ramen Chicken",44,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,16.7061802623354,4602.73626304235,417.56
"71","25-Oct","Bowl Ramen Tofu",9,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,2.75858477981251,827.898140690177,85.41
"72","25-Oct","Create Your Pasta Bowl MEAT",80,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,50.0476397483137,3827.08150778954,719.2
"73","25-Oct","Create Your Pasta Bowl VEG",14,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,1.96412379151176,147.73013809964,118.86
"74","28-Oct","Grilled Hamburger",96,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,372.59636876306,8532.41863166286,863.04
"75","28-Oct","Grilled Chicken Breast Sandwich",15,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,4.52330618396897,1042.05973291872,127.35
"76","28-Oct","Seared Salmon Burger",8,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,3.5834085913442,357.577777410088,67.92
"77","28-Oct","Trillium Grill Impossible Burger",4,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,0.843644352396447,93.0143740724252,41.96
"78","28-Oct","Black Bean Burger",4,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.443778849313767,219.955291120699,34.76
"79","28-Oct","Bowl Ramen Chicken",65,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,24.67958447845,6799.49675222165,616.85
"80","28-Oct","Bowl Ramen Tofu",11,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.37160361977085,1011.87550528799,104.39
"81","28-Oct","Create Your Pasta Bowl MEAT",127,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,79.450628100448,6075.49189361589,1141.73
"82","28-Oct","Create Your Pasta Bowl VEG",38,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,5.33119314838905,400.981803413308,322.62
"83","29-Oct","Grilled Hamburger",102,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,395.883641810751,9065.69479614179,916.98
"84","29-Oct","Grilled Chicken Breast Sandwich",22,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,6.6341824031545,1528.35427494746,186.78
"85","29-Oct","Trillium Grill Impossible Burger",9,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.89819979289201,209.282341662957,94.41
"86","29-Oct","Black Bean Burger",6,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.66566827397065,329.932936681049,52.14
"87","29-Oct","Seared Salmon Burger",6,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,2.68755644350815,268.183333057566,50.94
"88","29-Oct","Bowl Ramen Chicken",67,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,25.4389563085562,7008.71203690539,635.83
"89","29-Oct","Bowl Ramen Tofu",13,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.98462245972918,1195.85286988581,123.37
"90","29-Oct","Create Your Pasta Bowl MEAT",108,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,67.5643136602235,5166.56003551587,970.92
"91","29-Oct","Create Your Pasta Bowl VEG",25,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,3.50736391341385,263.803818035071,212.25
"92","30-Oct","Grilled Hamburger",95,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,368.715156588445,8443.53927091638,854.05
"93","30-Oct","Grilled Chicken Breast Sandwich",19,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,5.7295211663607,1319.94232836371,161.31
"94","30-Oct","Trillium Grill Impossible Burger",6,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.26546652859467,139.521561108638,62.94
"95","30-Oct","Seared Salmon Burger",7,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,3.13548251742618,312.880555233827,59.43
"96","30-Oct","Black Bean Burger",5,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.554723561642208,274.944113900874,43.45
"97","30-Oct","Bowl Ramen Chicken",70,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,26.5780140537154,7322.534963931,664.3
"98","30-Oct","Bowl Ramen Tofu",12,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.67811303975002,1103.8641875869,113.88
"99","30-Oct","Create Your Pasta Bowl MEAT",136,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,85.0809875721333,6506.03856324221,1222.64
"100","30-Oct","Create Your Pasta Bowl VEG",23,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,3.22677480034074,242.699512592266,195.27
"101","31-Oct","Grilled Hamburger",107,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,415.289702683827,9510.09159987423,961.93
"102","31-Oct","Grilled Chicken Breast Sandwich",21,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,6.33262865755656,1458.88362608621,178.29
"103","31-Oct","Trillium Grill Impossible Burger",13,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,2.74184414528845,302.296715735382,136.37
"104","31-Oct","Seared Salmon Burger",7,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,3.13548251742618,312.880555233827,59.43
"105","31-Oct","Black Bean Burger",1,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.110944712328442,54.9888227801748,8.69
"106","31-Oct","Bowl Ramen Chicken",79,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,29.9951872891931,8264.00374500785,749.71
"107","31-Oct","Bowl Ramen Tofu",10,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.06509419979168,919.886822989085,94.9
"108","31-Oct","Create Your Pasta Bowl MEAT",120,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,75.0714596224706,5740.6222616843,1078.8
"109","31-Oct","Create Your Pasta Bowl VEG",27,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,3.78795302648696,284.908123477877,229.23
"110","1-Nov","Grilled Hamburger",66,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,256.160003524604,5866.03780926822,593.34
"111","1-Nov","Grilled Chicken Breast Sandwich",12,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,3.61864494717518,833.647786334976,101.88
"112","1-Nov","Trillium Grill Impossible Burger",9,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.89819979289201,209.282341662957,94.41
"113","1-Nov","Seared Salmon Burger",4,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,1.7917042956721,178.788888705044,33.96
"114","1-Nov","Black Bean Burger",3,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.332834136985325,164.966468340524,26.07
"115","1-Nov","Bowl Ramen Chicken",34,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,12.9093211118046,3556.65983962363,322.66
"116","1-Nov","Bowl Ramen Tofu",13,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.98462245972918,1195.85286988581,123.37
"117","1-Nov","Create Your Pasta Bowl MEAT",87,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,54.4268082262912,4161.95113972112,782.13
"118","1-Nov","Create Your Pasta Bowl VEG",8,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,1.12235645229243,84.4172217712228,67.92
"119","4-Nov","Grilled Hamburger",80,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,310.496973969217,7110.34885971905,719.2
"120","4-Nov","Grilled Chicken Breast Sandwich",12,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,3.61864494717518,833.647786334976,101.88
"121","4-Nov","Seared Salmon Burger",11,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,4.92718681309828,491.66944393887,93.39
"122","4-Nov","Trillium Grill Impossible Burger",7,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.47637761669378,162.775154626744,73.43
"123","4-Nov","Black Bean Burger",4,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.443778849313767,219.955291120699,34.76
"124","4-Nov","Bowl Ramen Chicken",65,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,24.67958447845,6799.49675222165,616.85
"125","4-Nov","Bowl Ramen Tofu",20,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,6.13018839958336,1839.77364597817,189.8
"126","4-Nov","Create Your Pasta Bowl MEAT",118,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,73.8202686287627,5644.94522398956,1060.82
"127","4-Nov","Create Your Pasta Bowl VEG",34,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,4.77001492224284,358.773192527697,288.66
"128","5-Nov","Grilled Hamburger",107,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,415.289702683827,9510.09159987423,961.93
"129","5-Nov","Trillium Grill Impossible Burger",14,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,2.95275523338757,325.550309253488,146.86
"130","5-Nov","Grilled Chicken Breast Sandwich",11,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,3.31709120157725,764.177137473728,93.39
"131","5-Nov","Seared Salmon Burger",4,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,1.7917042956721,178.788888705044,33.96
"132","5-Nov","Black Bean Burger",2,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
"133","5-Nov","Bowl Ramen Chicken",73,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.379685915053077,104.607642341871,9.49,27.7170717988746,7636.35789095662,692.77
"134","5-Nov","Bowl Ramen Tofu",11,"Asian","Fall 2024","Carbon Label","Ramen","Main","Treatment","Lunch",0.306509419979168,91.9886822989085,9.49,3.37160361977085,1011.87550528799,104.39
"135","5-Nov","Create Your Pasta Bowl MEAT",103,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.625595496853921,47.8385188473692,8.99,64.4363361759539,4927.36744127903,925.97
"136","5-Nov","Create Your Pasta Bowl VEG",20,"Italian","Fall 2024","Carbon Label","Pasta","Main","Satellite","Lunch",0.140294556536554,10.5521527214029,8.49,2.80589113073108,211.043054428057,169.8
"137","6-Nov","Grilled Hamburger",104,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",3.88121217461521,88.8793607464882,8.99,403.646066159982,9243.45351763477,934.96
"138","6-Nov","Grilled Chicken Breast Sandwich",16,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.301553745597932,69.470648861248,8.49,4.8248599295669,1111.53038177997,135.84
"139","6-Nov","Trillium Grill Impossible Burger",9,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.210911088099112,23.2535935181063,10.49,1.89819979289201,209.282341662957,94.41
"140","6-Nov","Seared Salmon Burger",6,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.447926073918026,44.697222176261,8.49,2.68755644350815,268.183333057566,50.94
"141","6-Nov","Black Bean Burger",2,"Grill","Fall 2024","Carbon Label","Grill","Main","Treatment","Lunch",0.110944712328442,54.9888227801748,8.69,0.221889424656883,109.97764556035,17.38
