"","date","item","count","sales_cat","semester","menu_condition","station","item_cat","station_type","meal_period"
"27","16-Oct","Side Vegetable Spring Rolls",2,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"28","16-Oct","1 Wok Entree",1,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"29","16-Oct","Side Vegetables",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"30","16-Oct","Side Vegetarian Fried Rice with",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"31","16-Oct","Create Your Pasta Bowl MEAT",149,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"32","16-Oct","Create Your Pasta Bowl VEG",24,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"33","16-Oct","Pizza Cheese",28,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"34","16-Oct","Add Extra Meat",34,"Italian","Fall 2024","Control","Pasta","Modification","Satellite","Lunch"
"35","16-Oct","Pizza with Toppings",16,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"36","16-Oct","Side Bread Pasta Station",2,"Italian","Fall 2024","Control","Pasta","Side","Satellite","Lunch"
"37","16-Oct","Burrito Breakfast",87,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"38","16-Oct","Small French Omelet",53,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"39","16-Oct","Egg Cheese Sausage Breakfast San",34,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"40","16-Oct","Egg Cheese Bacon Breakfast Sandw",26,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"41","16-Oct","Grand Slam Breakfast",9,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"42","16-Oct","Add Bacon",26,"Breakfast","Fall 2024","Control","Breakfast","Modification","Satellite","Breakfast"
"43","16-Oct","Two Eggs",10,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"44","16-Oct","Pancake Single",4,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"45","16-Oct","2 Slices Toast",4,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"46","16-Oct","Trillium Home Fries",1,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"47","16-Oct","Burrito Bowl BYO",105,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"48","16-Oct","Single Taco",3,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"49","16-Oct","Side Sour Cream",1,"Mexican","Fall 2024","Control","Wrap","Side","Satellite","Lunch"
"50","16-Oct","Salad by the Pound",79,"Salad Bar","Fall 2024","Control","Salad Bar","Main","Satellite","Lunch"
"51","16-Oct","Add Extra Protein 2.99",1,"Salad Bar","Fall 2024","Control","Salad Bar","Modification","Satellite","Lunch"
"52","16-Oct","Soup 12 oz",67,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"53","16-Oct","8 oz Soup",60,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"54","16-Oct","Side Potato Tots",12,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"55","17-Oct","Quesadilla Deluxe Trillium",159,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"56","17-Oct","Grilled Hamburger",109,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"57","17-Oct","Fried Chicken Tenders",109,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"58","17-Oct","Burrito Una Mano Trillium BYO",51,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"59","17-Oct","French Fries",136,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"60","17-Oct","Grilled Chicken Breast Sandwich",22,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"61","17-Oct","Trillium Grill Impossible Burger",12,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"62","17-Oct","Quesadilla Cheese",13,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"63","17-Oct","Sweet Potato Fries",27,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"64","17-Oct","Seared Salmon Burger",9,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"65","17-Oct","+ Beef Patty",19,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"66","17-Oct","Black Bean Burger",1,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"67","17-Oct","ADD Cheese",10,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"68","17-Oct","Add Sausage 2 Patty",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"69","17-Oct","ADD Chicken Breast",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"70","17-Oct","Add Egg .99",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"71","17-Oct","1 Entree + 1 Side",189,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"72","17-Oct","1 Entree + 2 Side",81,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"73","17-Oct","Bowl Ramen Chicken",68,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"74","17-Oct","2 Entrees + 2 Sides",35,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"75","17-Oct","Bowl Ramen Tofu",14,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"76","17-Oct","1 Wok Entree",5,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"77","17-Oct","Side Vegetable Spring Rolls",3,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"78","17-Oct","Side Vegetarian Lo Mein",3,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"79","17-Oct","Side Vegetables",2,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"80","17-Oct","Side White or Brown Rice",2,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"81","17-Oct","Create Your Pasta Bowl MEAT",128,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"82","17-Oct","Create Your Pasta Bowl VEG",33,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"83","17-Oct","Pizza with Toppings",37,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"84","17-Oct","Pizza Cheese",27,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"85","17-Oct","Add Extra Meat",24,"Italian","Fall 2024","Control","Pasta","Modification","Satellite","Lunch"
"86","17-Oct","Side Bread Pasta Station",2,"Italian","Fall 2024","Control","Pasta","Side","Satellite","Lunch"
"87","17-Oct","Burrito Breakfast",85,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"88","17-Oct","Small French Omelet",61,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"89","17-Oct","Egg Cheese Sausage Breakfast San",36,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"90","17-Oct","Egg Cheese Bacon Breakfast Sandw",34,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"91","17-Oct","Grand Slam Breakfast",15,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"92","17-Oct","Add Bacon",28,"Breakfast","Fall 2024","Control","Breakfast","Modification","Satellite","Breakfast"
"93","17-Oct","Two Eggs",17,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"94","17-Oct","Trillium Home Fries",1,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"95","17-Oct","Pancake Single",1,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"96","17-Oct","2 Slices Toast",1,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"97","17-Oct","Toast",1,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"98","17-Oct","Burrito Bowl BYO",103,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"99","17-Oct","Single Taco",4,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"100","17-Oct","Side Guacamole",4,"Mexican","Fall 2024","Control","Wrap","Side","Satellite","Lunch"
"101","17-Oct","Side Salsa",3,"Mexican","Fall 2024","Control","Wrap","Side","Satellite","Lunch"
"102","17-Oct","Add Extra Toppings Una Mano",2,"Mexican","Fall 2024","Control","Wrap","Modification","Satellite","Lunch"
"103","17-Oct","Salad by the Pound",57,"Salad Bar","Fall 2024","Control","Salad Bar","Main","Satellite","Lunch"
"104","17-Oct","Add Extra Protein 2.99",1,"Salad Bar","Fall 2024","Control","Salad Bar","Modification","Satellite","Lunch"
"105","17-Oct","8 oz Soup",35,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"106","17-Oct","Soup 12 oz",28,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"107","17-Oct","Side Potato Tots",18,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"108","18-Oct","Quesadilla Deluxe Trillium",105,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"109","18-Oct","Grilled Hamburger",66,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"110","18-Oct","Fried Chicken Tenders",54,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"111","18-Oct","Burrito Una Mano Trillium BYO",42,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"112","18-Oct","French Fries",101,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"113","18-Oct","Quesadilla Cheese",14,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"114","18-Oct","Grilled Chicken Breast Sandwich",11,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"115","18-Oct","Seared Salmon Burger",8,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"116","18-Oct","+ Beef Patty",11,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"117","18-Oct","Trillium Grill Impossible Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"118","18-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"119","18-Oct","Add Sausage 2 Patty",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"120","18-Oct","ADD Chicken Breast",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"121","18-Oct","ADD Cheese",4,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"122","18-Oct","Add Egg .99",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"123","18-Oct","1 Entree + 1 Side",103,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"124","18-Oct","1 Entree + 2 Side",63,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"125","18-Oct","Bowl Ramen Chicken",44,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"126","18-Oct","2 Entrees + 2 Sides",20,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"127","18-Oct","Bowl Ramen Tofu",21,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"128","18-Oct","Side White or Brown Rice",12,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"129","18-Oct","Side Vegetarian Lo Mein",4,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"130","18-Oct","1 Wok Entree",2,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"131","18-Oct","Side Vegetable Spring Rolls",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"132","18-Oct","Side Vegetarian Fried Rice with",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"133","18-Oct","Burrito Breakfast",84,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"134","18-Oct","Small French Omelet",47,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"135","18-Oct","Egg Cheese Sausage Breakfast San",36,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"136","18-Oct","Grand Slam Breakfast",15,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"137","18-Oct","Egg Cheese Bacon Breakfast Sandw",23,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"138","18-Oct","Add Bacon",21,"Breakfast","Fall 2024","Control","Breakfast","Modification","Satellite","Breakfast"
"139","18-Oct","Two Eggs",10,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"140","18-Oct","Pancake Single",6,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"141","18-Oct","Trillium Home Fries",2,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"142","18-Oct","PC Jelly",1,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"143","18-Oct","Create Your Pasta Bowl MEAT",83,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"144","18-Oct","Pizza with Toppings",23,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"145","18-Oct","Pizza Cheese",27,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"146","18-Oct","Create Your Pasta Bowl VEG",13,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"147","18-Oct","Add Extra Meat",14,"Italian","Fall 2024","Control","Pasta","Modification","Satellite","Lunch"
"148","18-Oct","Burrito Bowl BYO",81,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"149","18-Oct","Single Taco",4,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"150","18-Oct","8 oz Soup",39,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"151","18-Oct","Soup 12 oz",24,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"152","18-Oct","Salad by the Pound",34,"Salad Bar","Fall 2024","Control","Salad Bar","Main","Satellite","Lunch"
"153","18-Oct","Add Extra Protein 2.99",1,"Salad Bar","Fall 2024","Control","Salad Bar","Modification","Satellite","Lunch"
"154","18-Oct","Side Potato Tots",15,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"155","21-Oct","Quesadilla Deluxe Trillium",154,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"156","21-Oct","Grilled Hamburger",105,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"157","21-Oct","Burrito Una Mano Trillium BYO",79,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"158","21-Oct","Fried Chicken Tenders",91,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"159","21-Oct","French Fries",114,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"160","21-Oct","Grilled Chicken Breast Sandwich",18,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"161","21-Oct","Sweet Potato Fries",36,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"162","21-Oct","Seared Salmon Burger",11,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"163","21-Oct","Trillium Grill Impossible Burger",8,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"164","21-Oct","Quesadilla Cheese",6,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"165","21-Oct","+ Beef Patty",14,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"166","21-Oct","ADD Chicken Breast",4,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"167","21-Oct","Add Sausage 2 Patty",5,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"168","21-Oct","Black Bean Burger",1,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"169","21-Oct","ADD Cheese",4,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"170","21-Oct","Add Egg .99",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"171","21-Oct","1 Entree + 1 Side",187,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"172","21-Oct","1 Entree + 2 Side",87,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"173","21-Oct","Bowl Ramen Chicken",71,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"174","21-Oct","2 Entrees + 2 Sides",20,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"175","21-Oct","Bowl Ramen Tofu",14,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"176","21-Oct","Side Vegetarian Lo Mein",7,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"177","21-Oct","Side Vegetable Spring Rolls",5,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"178","21-Oct","1 Wok Entree",3,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"179","21-Oct","Side Vegetarian Fried Rice with",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"180","21-Oct","Side White or Brown Rice",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"181","21-Oct","Create Your Pasta Bowl MEAT",124,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"182","21-Oct","Create Your Pasta Bowl VEG",37,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"183","21-Oct","Pizza with Toppings",38,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"184","21-Oct","Pizza Cheese",23,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"185","21-Oct","Add Extra Meat",22,"Italian","Fall 2024","Control","Pasta","Modification","Satellite","Lunch"
"186","21-Oct","Side Bread Pasta Station",1,"Italian","Fall 2024","Control","Pasta","Side","Satellite","Lunch"
"187","21-Oct","Burrito Breakfast",80,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"188","21-Oct","Small French Omelet",51,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"189","21-Oct","Egg Cheese Sausage Breakfast San",32,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"190","21-Oct","Grand Slam Breakfast",16,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"191","21-Oct","Egg Cheese Bacon Breakfast Sandw",28,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"192","21-Oct","Add Bacon",35,"Breakfast","Fall 2024","Control","Breakfast","Modification","Satellite","Breakfast"
"193","21-Oct","Two Eggs",15,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"194","21-Oct","Trillium Home Fries",6,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"195","21-Oct","2 Slices Toast",3,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"196","21-Oct","Toast",2,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"197","21-Oct","Burrito Bowl BYO",101,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"198","21-Oct","Single Taco",7,"Mexican","Fall 2024","Control","Wrap","Main","Satellite","Lunch"
"199","21-Oct","Side Guacamole",6,"Mexican","Fall 2024","Control","Wrap","Side","Satellite","Lunch"
"200","21-Oct","Add Extra Toppings Una Mano",1,"Mexican","Fall 2024","Control","Wrap","Modification","Satellite","Lunch"
"201","21-Oct","Salad by the Pound",59,"Salad Bar","Fall 2024","Control","Salad Bar","Main","Satellite","Lunch"
"202","21-Oct","Soup 12 oz",43,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"203","21-Oct","8 oz Soup",27,"Soup","Fall 2024","Control","Soup","Main","Satellite","Lunch"
"204","21-Oct","Side Potato Tots",14,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"205","22-Oct","Quesadilla Deluxe Trillium",161,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"206","22-Oct","Grilled Hamburger",127,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"207","22-Oct","Fried Chicken Tenders",120,"Grab N Go","Fall 2024","Control","Grab N Go","Side","Satellite","Lunch"
"208","22-Oct","Burrito Una Mano Trillium BYO",62,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"209","22-Oct","French Fries",146,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"210","22-Oct","Grilled Chicken Breast Sandwich",18,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"211","22-Oct","Sweet Potato Fries",34,"Grill","Fall 2024","Control","Grill","Side","Treatment","Lunch"
"212","22-Oct","Quesadilla Cheese",12,"Grill","Fall 2024","Control","Quesadilla","Main","Satellite","Lunch"
"213","22-Oct","Seared Salmon Burger",10,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"214","22-Oct","Trillium Grill Impossible Burger",6,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"215","22-Oct","+ Beef Patty",9,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"216","22-Oct","Black Bean Burger",2,"Grill","Fall 2024","Control","Grill","Main","Treatment","Lunch"
"217","22-Oct","ADD Chicken Breast",3,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"218","22-Oct","Add Sausage 2 Patty",1,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"219","22-Oct","Add Egg .99",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"220","22-Oct","ADD Cheese",2,"Grill","Fall 2024","Control","Grill","Modification","Treatment","Lunch"
"221","22-Oct","1 Entree + 1 Side",197,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"222","22-Oct","1 Entree + 2 Side",87,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"223","22-Oct","Bowl Ramen Chicken",73,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"224","22-Oct","2 Entrees + 2 Sides",36,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"225","22-Oct","Bowl Ramen Tofu",10,"Asian","Fall 2024","Control","Ramen","Main","Treatment","Lunch"
"226","22-Oct","Side Vegetarian Lo Mein",4,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"227","22-Oct","1 Wok Entree",1,"Asian","Fall 2024","Control","Wok","Main","Satellite","Lunch"
"228","22-Oct","Side White or Brown Rice",3,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"229","22-Oct","Side Vegetarian Fried Rice with",1,"Asian","Fall 2024","Control","Wok","Side","Satellite","Lunch"
"230","22-Oct","Create Your Pasta Bowl MEAT",132,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"231","22-Oct","Create Your Pasta Bowl VEG",26,"Italian","Fall 2024","Control","Pasta","Main","Satellite","Lunch"
"232","22-Oct","Pizza with Toppings",35,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"233","22-Oct","Pizza Cheese",24,"Italian","Fall 2024","Control","Pizza","Main","Satellite","Lunch"
"234","22-Oct","Add Extra Meat",21,"Italian","Fall 2024","Control","Pasta","Modification","Satellite","Lunch"
"235","22-Oct","Side Bread Pasta Station",1,"Italian","Fall 2024","Control","Pasta","Side","Satellite","Lunch"
"236","22-Oct","Burrito Breakfast",89,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"237","22-Oct","Small French Omelet",60,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
"238","22-Oct","Grand Slam Breakfast",19,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"239","22-Oct","Egg Cheese Sausage Breakfast San",28,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"240","22-Oct","Egg Cheese Bacon Breakfast Sandw",26,"Breakfast","Fall 2024","Control","Breakfast","Main","Satellite","Breakfast"
"241","22-Oct","Add Bacon",27,"Breakfast","Fall 2024","Control","Breakfast","Modification","Satellite","Breakfast"
"242","22-Oct","Two Eggs",14,"Breakfast","Fall 2024","Control","Breakfast","Side","Satellite","Breakfast"
